inventory_key,inventory_scope,recipe_id,title,category,source,source_url,source_license,content_origin,difficulty,servings,prep_time,cook_time,total_time,ingredient_count,step_count,beginner_review_status,actual_cooking_test_status,image_rights_status,publish_status,last_reviewed_at,reviewer,source_record_status,source_type_original,source_type_app_projection,attribution,current_public_exposure
live_supabase:e0074734-5419-491b-bf70-6442dcacab40,live_supabase,e0074734-5419-491b-bf70-6442dcacab40,웰빙스테이크,일품,mfds:389,,,public_api,,,,,,11,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:d849ad5a-2692-416b-be40-a94473e740a2,live_supabase,d849ad5a-2692-416b-be40-a94473e740a2,오징어콩순대,일품,mfds:390,,,public_api,,,,,,15,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:6333539f-dd67-403a-9c49-d5dc8dc34dff,live_supabase,6333539f-dd67-403a-9c49-d5dc8dc34dff,토마토소고기장조림,반찬,mfds:391,,,public_api,,,,,,10,5,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:59bd5958-265f-4aee-b99e-41eda5dd54fc,live_supabase,59bd5958-265f-4aee-b99e-41eda5dd54fc,토마토소고기찜,반찬,mfds:392,,,public_api,,,,,,11,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:8af5e6f3-890c-496b-90f6-6b402a4badff,live_supabase,8af5e6f3-890c-496b-90f6-6b402a4badff,까르보나라뇨끼,일품,mfds:396,,,public_api,,,,,,13,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:ebd03bc4-cc67-4619-b32b-6179c42600db,live_supabase,ebd03bc4-cc67-4619-b32b-6179c42600db,호박죽,일품,mfds:397,,,public_api,,,,,,8,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:5736fe7b-c000-4945-8bf7-c1f46c44b4ca,live_supabase,5736fe7b-c000-4945-8bf7-c1f46c44b4ca,라이스버거떡갈비,반찬,mfds:398,,,public_api,,,,,,17,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:b01feb7f-40be-4832-a881-b0eb2018d703,live_supabase,b01feb7f-40be-4832-a881-b0eb2018d703,고추김치,반찬,mfds:399,,,public_api,,,,,,9,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:1546c0e3-7659-486f-a538-390ab91162a4,live_supabase,1546c0e3-7659-486f-a538-390ab91162a4,누룽닭,반찬,mfds:500,,,public_api,,,,,,20,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:4c96b00e-4c13-4e5a-9f93-2f05437ac84c,live_supabase,4c96b00e-4c13-4e5a-9f93-2f05437ac84c,광어스테이크,반찬,mfds:501,,,public_api,,,,,,11,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:74787fcc-399d-494f-a4ce-4c34d9ba0601,live_supabase,74787fcc-399d-494f-a4ce-4c34d9ba0601,치즈감자크로켓,후식,mfds:502,,,public_api,,,,,,11,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:fa46a91b-2abf-4108-84f6-b6737bc0b16a,live_supabase,fa46a91b-2abf-4108-84f6-b6737bc0b16a,황태미역 곤약스프,국&찌개,mfds:640,,,public_api,,,,,,10,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
