recipeId,title,sourceCategory,categoryStatus,categoryId,ingredientCount,ingredientShape,matchedIngredientCount,unmatchedIngredientCount,stepCount,completeV2StepCount,sourceLinked,conversionStatus,blockers
dd4adf40-3a28-4645-9135-2f3ce37f0f5a,꽃게바지락찌개,국&찌개,unresolved,,14,legacy_strings,0,14,6,0,false,needs_structural_normalization,category_unresolved|missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
ab1c3cc1-83c7-4153-86a8-d2d915522ef0,새뱅이찌개,국&찌개,unresolved,,15,legacy_strings,0,15,6,0,false,needs_structural_normalization,category_unresolved|missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
7760459a-c917-4a86-8cc4-4b4a346c33fb,황태미역국,국&찌개,unresolved,,10,legacy_strings,0,10,6,0,false,needs_structural_normalization,category_unresolved|missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
c107b5c7-95a5-4a9d-bc44-a2aa1605ae6f,매실입은가지닭볶음탕,반찬,mapped,side,11,legacy_strings,0,11,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
4a2f7b42-4e0b-455b-acd1-9569ba97254d,홍시잼 식빵,기타,mapped,other,8,legacy_strings,0,8,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
d22ee1ad-1197-4d53-9330-06e07d95f682,콩가루 소보로,기타,mapped,other,15,legacy_strings,0,15,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
d032aec0-fdb1-4bc5-9f30-c5140f8cc249,곤약 가스,일품,mapped,other,14,legacy_strings,0,14,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
08ac8fc8-cef9-440a-a43e-ceecc0d8bd66,두부크림 관자뇨키,일품,mapped,other,12,legacy_strings,0,12,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
797b9ed2-1c58-4c84-8b8d-381d51384833,"삼색나물, 토마토양념장",반찬,mapped,side,11,legacy_strings,0,11,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
15be2a22-627d-44de-a305-ba0f926053e5,삼색 브레드 스틱,기타,mapped,other,10,legacy_strings,0,10,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
f83b4c54-5355-4d91-8ce2-94afd63d8f60,양배추말이 김치,반찬,mapped,side,8,legacy_strings,0,8,5,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
5e44798d-af24-445a-abce-3742f5519a09,단호박 양고기볶음,반찬,mapped,side,12,legacy_strings,0,12,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
736d152a-c1e2-4e3d-94a5-db1d147fae46,채소 프리타타,반찬,mapped,side,17,legacy_strings,0,17,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
d211172d-7aff-4272-9b3b-6f2cefe09269,고등어 라따뚜이 파스타,일품,mapped,other,16,legacy_strings,0,16,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
3b78b894-51c2-4f9d-8780-67e75e4db745,과카몰리 갈치구이,반찬,mapped,side,12,legacy_strings,0,12,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
3679c311-655c-4f25-8f81-474333df53f1,배추겉절이,반찬,mapped,side,14,legacy_strings,0,14,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
cff1ae91-5bcf-40da-b4b4-33e89e099fb5,홍시에이드,후식,mapped,dessert,4,legacy_strings,0,4,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
7e50a8e5-9729-433d-a605-1b9ea162d698,낙지묵은지콩나물국,국&찌개,unresolved,,11,legacy_strings,0,11,6,0,false,needs_structural_normalization,category_unresolved|missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
89043dee-c892-4e76-a420-13e5d01d5833,자색고구마 버터크림 빵,기타,mapped,other,16,legacy_strings,0,16,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
ed08f984-f604-4145-ad18-68970b7a0b42,치아바타 피자빵,기타,mapped,other,12,legacy_strings,0,12,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
44d0fe6b-66ca-4cd1-b76a-edc3f4046a4d,토마토 채소 계란찜,반찬,mapped,side,9,legacy_strings,0,9,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
23c7995e-217a-4650-b4f9-f0ed9f88faf0,치즈 단호박,일품,mapped,other,9,legacy_strings,0,9,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
dea40d5a-1016-44d9-b95e-94854beb8fab,강황 투움바 파스타,기타,mapped,other,20,legacy_strings,0,20,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
f1c4a829-e2b9-4496-a8d3-152e39dd2119,깻잎 쌈두부 라자냐,반찬,mapped,side,19,legacy_strings,0,19,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
76448882-b1e5-4b39-b652-29ae1c87977b,참깨가지말이밥,밥,mapped,rice,14,legacy_strings,0,14,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
64d4aa8b-83af-4938-97c1-5a8044682737,찹쌀 흰살 생선찜,일품,mapped,other,14,legacy_strings,0,14,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
0cdcce78-5e87-448c-907c-d7eb4a32464a,깻잎퓌레를 곁들인 삼치새우,일품,mapped,other,18,legacy_strings,0,18,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
ba7f4bc6-3da8-4285-925b-b4d591f10a24,참나물페스토 파스타,일품,mapped,other,6,legacy_strings,0,6,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
7cc75116-9cbe-427a-b496-e73255da0cbb,카레삼겹살 파니니,기타,mapped,other,16,legacy_strings,0,16,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
c51adc11-fee2-4bbd-965f-f2014c492b8a,두부 새우볼,일품,mapped,other,12,legacy_strings,0,12,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
7e1bcf14-2d6e-4c9c-b5d5-92c078807f16,어린잎채소 건두부말이,기타,mapped,other,8,legacy_strings,0,8,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
520334c3-a81a-40c5-bead-d00ae733de4b,해산물 완자볼을 곁들인 양장피 콩국수,일품,mapped,other,18,legacy_strings,0,18,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
8505e63c-82d9-49b9-9873-a50cf108dc45,토마토를 곁들인 마늘밥,밥,mapped,rice,8,legacy_strings,0,8,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
a0ec60a6-9def-4a59-bab8-f392cad56cfb,낙전새 카레볶음밥,밥,mapped,rice,15,legacy_strings,0,15,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
b521f895-3779-452c-bf44-83b0844a29a8,바지락가자미완탕국,국&찌개,unresolved,,13,legacy_strings,0,13,6,0,false,needs_structural_normalization,category_unresolved|missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
4a299406-467e-4ca4-b34e-4c82ac3ffb44,저염보쌈김치,반찬,mapped,side,19,legacy_strings,0,19,6,0,false,needs_structural_normalization,missing_or_invalid_difficulty|missing_servings|missing_total_time|source_ledger_missing|beginner_review_missing|legacy_ingredient_strings_need_editor_parse|step_v2_fields_missing
